,Gender,Seeking,Age,Pictures,Profile Visits,Kisses,Fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,Country,City,Location,distance,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,Verified,lastOnlineDate,lastOnlineTime,User ID,Under 25
72,F,M,19,7,9078,335,11,True,False,False,DE,Freiburg im Breisgau,Freiburg im Breisgau,188.0,0,0,0,1,0,0,1,1,False,False,True,False,False,False,1,2015-04-26T00:27:47Z,1430008067.0,551562aa086ea1768d8b456b,1
73,F,M,20,3,864,39,0,True,True,True,DE,Beckingen,Kaiserslautern,335.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:26:46Z,1428330406.0,54e64c68076ea1965a8b4608,1
74,F,none,21,3,18187,772,51,False,False,True,CH,Interlaken,Interlaken,95.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-25T22:40:58Z,1430001658.0,54a6c390c86da151248b4991,1
75,F,M,21,10,21469,623,1,True,False,False,DE,Freiburg im Breisgau,March,190.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-06T13:43:36Z,1428327816.0,54fdc3491b0ba076578b469e,1
76,F,M,20,14,51560,6155,18,True,False,False,CH,Siglistorf,Steinmaur,175.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-26T11:47:45Z,1430048865.0,55380277c66da1264a8b47ef,1
77,F,M,23,20,23177,1194,25,False,False,True,CH,Wettingen,Wettingen,166.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-08T11:19:53Z,1428491993.0,51edbbf7150ba035065ca1ea,1
78,F,M,23,1,52,0,0,True,False,True,DE,Michelbach an der Bilz,Schwäbisch Hall,371.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T15:55:21Z,1428335721.0,552275c6170ba0840f8b498a,1
79,F,M,20,13,4829,348,0,False,False,True,DE,Sexau,Sexau,198.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T16:40:40Z,1430066440.0,5534dbe00a6ea1e6988b4ba8,1
80,F,M,20,4,31435,1978,0,True,True,True,CH,Bremgarten bei Bern,Bremgarten bei Bern,79.7,0,0,0,1,0,0,0,2,False,False,True,True,False,False,0,2015-04-26T10:04:18Z,1430042658.0,553519ceec6da13b8c8b518e,1
81,F,M,24,27,28159,638,0,True,True,False,DE,Radolfzell am Bodensee,Gebenstorf,161.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-11T16:42:35Z,1428770555.0,541dec98160ba05f5f8b45bc,1
82,F,both,22,11,5550,450,12,False,True,False,DE,Freiburg im Breisgau,Lörrach,144.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T18:52:03Z,1430074323.0,5531a8841a0ba0b31f8b4a54,1
83,F,M,19,8,1255,52,1,True,True,False,CH,Zug,Zug,160.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-05T21:32:21Z,1428269541.0,5518f196180ba0f16e8b45b4,1
84,F,M,23,4,7493,362,48,True,False,False,DE,Köln,Köln,496.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:54:27Z,1428332067.0,5516c069180ba08a258b496b,1
85,F,none,23,4,5177,467,0,True,True,True,CH,Dubendorf,Dubendorf,178.0,0,0,0,1,0,1,0,2,False,True,True,False,False,False,1,2015-04-08T14:32:44Z,1428503564.0,55022190c46da14d7a8b47df,1
86,F,M,21,18,15200,1187,7,True,False,False,DE,Stuttgart,Aspach,341.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-06T14:54:50Z,1428332090.0,521c7353c76da1473406bc9b,1
87,F,M,26,11,25845,1898,34,True,True,True,DE,Sindelfingen,Sindelfingen,302.0,0,0,0,1,0,1,0,5,False,True,True,False,False,False,0,2015-04-06T16:15:58Z,1428336958.0,541f0a751a0ba0831e8b4b11,0
88,F,M,25,7,8143,317,1,False,False,True,DE,Köln,Köln,495.0,0,0,0,1,0,1,0,2,False,False,True,False,False,False,1,2015-04-06T15:57:03Z,1428335823.0,54a584ae1a0ba08d198b466d,0
89,F,both,24,10,10861,593,9,True,False,False,DE,Remagen,Remagen,453.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-27T19:39:30Z,1430163570.0,551f1dfc066ea126588b49ac,1
90,F,M,21,21,52465,3739,4,True,False,True,CH,Fribourg,Schwarzsee,51.4,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T10:45:05Z,1430045105.0,553a3ff7086ea1d37d8b50bc,1
91,F,M,19,5,17289,734,1,True,False,False,DE,Eutingen im Gäu,Pfalzgrafenweiler,268.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:28:46Z,1428330526.0,5517f438190ba053658b4568,1
92,F,M,21,10,8334,290,0,False,False,False,DE,Stuttgart,Neuhausen auf den Fildern,311.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-06T14:51:55Z,1428331915.0,55225b891b0ba0914f8b48f9,1
93,F,M,24,4,1076,20,2,True,True,True,DE,Neuenburg am Rhein,Neuenburg am Rhein,160.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-07T11:45:28Z,1428407128.0,54cd35d31b0ba0006e8b4b16,1
94,F,both,22,8,19690,551,13,True,False,True,AT,Bregenz,Bregenz,258.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-27T19:28:28Z,1430162908.0,553d16bdec6da1fd228b48ff,1
95,F,M,22,6,43387,1854,12,True,True,True,DE,Frankfurt am Main,Frankfurt am Main,430.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T15:03:30Z,1428332610.0,54de96e5ea6da14b4c8b4676,1
96,F,none,20,19,28293,1027,2,False,False,False,CH,Basel,Herrischried,163.0,0,0,0,1,0,0,0,2,False,False,True,False,False,False,0,2015-05-03T07:54:04Z,1430639644.0,551465e9c56da1a97f8b4716,1
97,F,M,24,17,43796,2750,2,True,True,True,CH,"Emmenbrücke (Lucerna, Schweiz)",Emmen,139.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-26T06:07:35Z,1430028455.0,54c34090190ba0a5428b4ec5,1
98,F,none,23,24,23679,1084,12,True,True,False,DE,Waldshut-Tiengen,Lauchringen,177.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-06T13:42:42Z,1428327762.0,54b2b201ea6da1fb348b4d25,1
99,F,M,19,7,5101,158,1,True,False,False,CH,Lenk im Simmental,Thun,79.3,1,1,0,1,0,1,0,2,True,False,True,False,False,False,0,2015-04-26T18:51:54Z,1430074314.0,553b56fd066ea1f26b8b467e,1
100,F,M,20,7,31221,1117,6,True,True,True,CH,Berna,Rothrist,128.0,0,0,0,1,0,0,0,2,False,False,True,True,False,False,1,2015-04-06T14:55:12Z,1428332112.0,551d5cc01a0ba0913e8b4d97,1
101,F,M,22,3,9896,413,2,False,True,False,CZ,Písek,Ludwigsburg,326.0,0,0,0,1,0,1,0,2,False,False,True,False,False,False,0,2015-04-06T14:23:23Z,1428330203.0,54853f30e96da1d6478b4638,1
102,F,M,20,4,9850,241,13,True,False,False,CH,"Samstagern (Zurich, Schweiz)",Einsiedeln,174.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-25T14:58:10Z,1429973890.0,543db0531b0ba0080c8b4dc1,1
103,F,M,21,5,11895,730,0,True,False,True,CH,Olten,Wangen bei Olten,131.0,0,0,0,0,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:56:57Z,1428332217.0,54fab20f150ba067388b4a87,1
104,F,M,19,4,21224,316,0,True,False,False,JM,Kingston,Aarau,145.0,0,0,0,1,0,0,0,3,False,True,True,False,False,False,1,2015-04-26T06:25:36Z,1430029536.0,54a95f17ca6da19c758b46c5,1
105,F,M,19,9,4335,355,91,True,False,False,CH,Brig,Brig-Glis,106.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-06T17:04:43Z,1428339883.0,53ec36bc160ba0c87b8b51f6,1
106,F,M,22,7,26483,746,3,True,True,False,DE,Köln,Köln,493.0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,0,2015-04-06T14:53:57Z,1428332037.0,55106cc5e86da1f2378b4899,1
107,F,both,19,3,780,22,0,False,True,True,CH,Bern,Burg (AG),142.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-01T18:07:07Z,1427911627.0,54b02965ca6da1ed8c8b4604,1
108,F,M,19,4,12754,644,0,True,False,False,CH,Fribourg,Fribourg,50.4,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T17:27:46Z,1430069266.0,54cbb2e3cb6da1f5618b456f,1
109,F,M,26,4,3441,88,3,False,False,True,DE,Mühlhausen-Ehingen,Mühlhausen-Ehingen,220.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T16:05:07Z,1428336307.0,54513142170ba029308b49ed,0
110,F,M,19,10,18731,644,3,True,False,False,CH,Lengnau,Lengnau,92.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-26T07:39:14Z,1430033954.0,551afdf3e86da131588b473d,1
111,F,M,21,16,5450,298,15,True,False,False,CH,Liestal,Liestal,136.0,0,0,0,1,0,0,0,9,True,True,True,True,True,True,1,2015-04-25T14:41:28Z,1429972888.0,533c0e31c86da1f5338b459d,1
112,F,none,19,1,29903,2146,0,True,True,False,CH,Zürich,Zürich,173.0,0,0,0,1,0,0,0,3,True,False,True,False,False,False,0,2015-04-26T09:14:13Z,1430039653.0,55076dc41b0ba0d9208b478a,1
113,F,M,23,13,50275,3687,0,True,True,True,DE,Bergisch Gladbach,Bergisch Gladbach,498.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-06T14:52:29Z,1428331949.0,55205176160ba031038b4bbe,1
114,F,M,24,11,14526,1116,19,False,False,True,SC,Grabs,Embrach,185.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-23T07:24:45Z,1429773885.0,552a346e086ea141568b4637,1
