User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
2205,F,M,22,1205,20,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.9582∞ N, 7.6800∞ E",Landiswil,Liestal,2015-04-26T08:12:27Z,1430035947,550e9033c86da1d20c8b47ae,Early Twenties
2206,F,M,20,1589,54,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Kloten,2015-04-06T15:32:07Z,1428334327,550f2125e66da1da608b458e,Early Twenties
2207,F,M,19,1741,109,13,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Lyon,2015-04-06T18:52:55Z,1428346375,5517fe1bc76da1f3468b45a5,Early Twenties
2208,F,M,25,1808,76,0,Italy,"41.8719∞ N, 12.5674∞ E",IT,"45.4637∞ N, 9.1885∞ E",Milano,Cormano,2015-04-06T15:55:45Z,1428335745,550ea8871b0ba00a2f8b45a0,Late Twenties
2209,F,M,19,510,14,4,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Volmunster,2015-04-06T14:26:10Z,1428330370,55108fc9c86da11c6c8b48d4,Early Twenties
2210,F,none,22,1897,34,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Schwenningen,2015-04-27T19:43:04Z,1430163784,550eb909e96da1b3368b48df,Early Twenties
2211,F,M,26,2188,106,0,Austria,"47.5162∞ N, 14.5501∞ E",AT,"47.2692∞ N, 11.4041∞ E",Innsbruck,Schlanders,2015-04-06T15:55:41Z,1428335741,550eb8dae96da1fb348b4bbd,Late Twenties
2212,F,M,21,837,12,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Michelstadt,2015-04-06T14:59:57Z,1428332397,550ebcd0c96da1091a8b45ec,Early Twenties
2213,F,M,22,1750,148,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Emmendingen,2015-04-11T21:01:07Z,1428786067,550ec172c56da13a138b4e00,Early Twenties
2214,F,M,19,1303,70,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.9480∞ N, 7.4474∞ E",Bern,Bern,2015-04-06T15:37:26Z,1428334646,55182d65cb6da15a608b45af,Early Twenties
2215,F,none,23,2454,88,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"48.7258∞ N, 2.1252∞ E",Villiers-le-Bacle,Volketswil,2015-04-08T14:01:52Z,1428501712,550ec5e9c76da15e298b4b09,Early Twenties
2216,F,M,19,1210,36,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Mammelzen,2015-04-06T14:29:47Z,1428330587,5520f417cb6da121098b4580,Early Twenties
2217,F,M,25,1167,35,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Darmstadt,2015-04-06T16:06:20Z,1428336380,550ed309e96da1d9668b45b4,Late Twenties
2218,F,M,21,743,60,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Al√®s,2015-04-06T14:52:28Z,1428331948,5512d4171a0ba06d388b48f0,Early Twenties
2219,F,M,22,388,10,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,K√∂ln,2015-04-06T16:03:28Z,1428336208,550ede73180ba02d218b468e,Early Twenties
2220,F,M,23,897,37,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,K√∂nigsbach-Stein,2015-04-06T15:57:00Z,1428335820,550eeab4cc6da199618b4570,Early Twenties
2221,F,M,20,1370,60,2,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,M√ºnster-Sarmsheim,2015-04-06T14:23:39Z,1428330219,5510555b150ba074588b46c9,Early Twenties
2222,F,M,21,1347,53,8,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"33.1430∞ N, 117.1444∞ W",Sullens,Ramsen,2015-04-06T14:54:12Z,1428332052,55183e6a086ea1617f8b45a6,Early Twenties
2223,F,M,20,314,16,1,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Pontarlier,2015-04-07T10:02:43Z,1428400963,550ef306076ea120938b49ab,Early Twenties
2224,F,M,22,683,34,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Neunkirchen,2015-04-06T14:25:15Z,1428330315,550ef2f7c46da106738b4a76,Early Twenties
2225,F,none,23,1338,121,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.2044∞ N, 6.1432∞ E",Geneva,Gen√®ve,2015-04-07T17:21:50Z,1428427310,550ef3f7c96da114878b4a90,Early Twenties
2226,F,M,23,1057,125,0,Austria,"47.5162∞ N, 14.5501∞ E",AT,"47.5008∞ N, 9.7423∞ E",Bregenz,Bregenz,2015-04-06T16:03:24Z,1428336204,550efc2c180ba08b308b4c57,Early Twenties
2227,F,M,21,442,20,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.9582∞ N, 7.6800∞ E",Landiswil,Lausanne,2015-04-06T18:29:31Z,1428344971,550efc7aca6da1cc7b8b4c1e,Early Twenties
2228,F,M,19,576,61,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"49.2239∞ N, 12.6621∞ E",Cham,Cernier,2015-04-07T00:35:39Z,1428366939,551336fe1a0ba02d248b4d1e,Early Twenties
2229,F,M,22,1102,49,2,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Betzdorf,2015-04-06T14:52:05Z,1428331925,550eff46140ba0b4428b457d,Early Twenties
2230,F,M,19,1409,53,3,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Sulz am Neckar,2015-04-06T14:23:40Z,1428330220,550f1f480a6ea1d6428b4648,Early Twenties
2231,F,M,23,621,32,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Isny im Allg√§u,2015-04-06T14:57:54Z,1428332274,550f089e086ea154458b471e,Early Twenties
